title,company_name,location,posted_time,job_type,qualification,description_snippet,job_url,apply_link
All Positions in Software Development,D. E. Shaw India,"Hyderabad, Telangana, India",,,,...,,
Modern Workspace,Cognizant,"Chennai, Tamil Nadu, India",,,,...,,
Parts Information Specialist,Caterpillar,"Chennai, Tamil Nadu, India",,,,...,,
Intermediate Applications Developer- Technical Writer,UPS,"Chennai, Tamil Nadu, India",,,,"Before you apply to a job, select your language preference from the options available at the top right of this page.  Explore your next opportunity at a Fortune Global 500 organization. Envision innov...",,
Senior Executive - Talent & Culture Operations,Morningstar,"Navi Mumbai, Maharashtra, India",,,,...,,
CTO Manager,PepsiCo,"Hyderabad, Telangana, India",,,,...,,
Team Manager – Operations,Gallagher,"Pune, Maharashtra, India",,,,...,,
Senior Production Team Leader,GE HEALTHCARE,"Bengaluru, Karnataka, India",,,,Job Description Summary Perform the daily operations of plants to ensure reliability and consistency on the production line. Includes Service Shops. Responsible for departmental operations planning/ex...,,
Sr. Firmware Engineer,"Advanced Micro Devices, Inc","Bengaluru, Karnataka, India",,,,...,,
Specialist,Hitachi Careers,"Chennai, Tamil Nadu, India",,,,"Company Description  About Hitachi Solutions India Pvt Ltd:  Hitachi Solutions, Ltd., headquartered in Tokyo, Japan, is a core member of Information & Telecommunication Systems Company of Hitachi Grou...",,
All Positions in Software Development,D. E. Shaw India,"Hyderabad, Telangana, India",,,,...,,
Modern Workspace,Cognizant,"Chennai, Tamil Nadu, India",,,,...,,
Parts Information Specialist,Caterpillar,"Chennai, Tamil Nadu, India",,,,...,,
Intermediate Applications Developer- Technical Writer,UPS,"Chennai, Tamil Nadu, India",,,,"Before you apply to a job, select your language preference from the options available at the top right of this page.  Explore your next opportunity at a Fortune Global 500 organization. Envision innov...",,
Front-end Email Developer,Thermo Fisher Scientific,"Bengaluru, Karnataka, India",,,,Work Schedule Standard (Mon-Fri)  Environmental Conditions Office  Job Description  Position Summary:  We are seeking a detail-oriented and technically capable Front-End Production Specialist to suppo...,,
Senior Executive - Talent & Culture Operations,Morningstar,"Navi Mumbai, Maharashtra, India",,,,...,,
Team Manager – Operations,Gallagher,"Pune, Maharashtra, India",,,,...,,
CTO Manager,PepsiCo,"Hyderabad, Telangana, India",,,,...,,
Senior Production Team Leader,GE HEALTHCARE,"Bengaluru, Karnataka, India",,,,Job Description Summary Perform the daily operations of plants to ensure reliability and consistency on the production line. Includes Service Shops. Responsible for departmental operations planning/ex...,,
Sr. Firmware Engineer,"Advanced Micro Devices, Inc","Bengaluru, Karnataka, India",,,,...,,
All Positions in Software Development,D. E. Shaw India,"Hyderabad, Telangana, India",,,,...,,
Modern Workspace,Cognizant,"Chennai, Tamil Nadu, India",,,,...,,
Parts Information Specialist,Caterpillar,"Chennai, Tamil Nadu, India",,,,...,,
